whisky_url,distillery_name_inner,country,region,whisky_type,bottler,whisky_link,whisky_name_suffix,whisky_rating,num_ratings,num_reviews,whisky_age,alcohol_pct,Artifical_colouring_-_With,Chill_filtration_-_With,Chill_filtration_-_Without,Note_Strawberry,Note_Heather,Note_Hay,Note_Grapefruit,Note_Plum,Note_Chocolate,Note_Zitrus,Note_Sherry,Note_Pepper,Note_Lemon_Peel,Note_Green_Apple,Note_Date,Note_Iodine,Note_Cake,Note_Coffee,Note_Anis,Note_Malt,Note_Clove,Note_Barley,Note_Seaweed,Note_Honey,Note_Spices,Note_Ginger,Note_Peat_Smoke,Note_Dried_Fruit,Note_Apple,Note_Cherry,Note_Oil,Note_Sweet,Note_Dark_Chocolate,Note_Berries,Note_Lime,Note_Tropical_Fruit,Note_Hazelnut,Note_Raisin,Note_Oak,Note_Floral,Note_Pineapple,Note_Fruit,Note_Blackberry,Note_Black_Currant,Note_Mint,Note_Melon,Note_Red_Currant,Note_Almonds,Note_Medicinal_Smoke,Note_Kiwi,Note_Herb,Note_Cinnamon,Note_Rye,Note_Vanilla,Note_Salt,Note_Grape,Note_Maritime_Notes,Note_Leather,Note_Bonfire_Smoke,Note_Herbs,Note_Alcohol,Note_Ham,Note_Coconut,Note_Lemon,Note_Grass,Note_Peach,Note_Caramel,Note_Orange,Note_Nuts,Note_Wheat,Note_Chili,Note_Banana,Note_Pear,Note_Tobacco,Note_Walnut,Note_Fig,Note_Nutmeg
https://www.whisky.com/whisky-database/details/lagavulin.html,Lagavulin,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/lagavulin.html,,4.5,1449.0,714,16,43.0,0,0,0,0,1,0,0,1,1,1,3,1,1,0,1,1,1,1,1,2,1,1,4,1,3,1,10,1,1,1,1,5,1,1,1,0,0,1,3,1,1,2,1,1,1,1,0,1,1,0,1,1,0,1,2,1,5,1,2,1,1,2,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1
https://www.whisky.com/whisky-database/details/ardbeg-ten.html,Ardbeg,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/ardbeg-ten.html,TEN,4.2,1095.0,642,10,46.0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,2,1,1,3,1,3,1,10,1,1,1,1,5,1,1,1,0,0,1,2,1,1,2,0,0,1,1,0,1,1,0,1,1,0,1,1,1,4,1,2,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
https://www.whisky.com/whisky-database/details/highland-park.html,Highland Park,Scotland,Islands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/highland-park.html,,3.8,1091.0,570,12,40.0,0,0,0,1,4,0,1,1,1,1,6,1,0,1,1,1,1,1,0,4,1,0,1,3,4,1,10,1,1,1,1,8,1,1,0,0,1,1,4,1,1,3,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,4,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
https://www.whisky.com/whisky-database/details/balvenie-double-wood.html,Balvenie,Scotland,Speyside,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/balvenie-double-wood.html,Double Wood,3.9,960.0,465,12,40.0,0,0,0,0,1,0,1,0,1,4,8,1,0,1,1,0,1,1,0,2,1,0,0,3,5,0,1,1,1,1,2,10,1,1,1,1,1,1,6,1,1,5,0,0,1,0,0,1,0,0,1,2,0,4,0,1,0,0,0,1,1,0,0,1,0,1,1,3,5,0,1,1,1,1,1,1,1
https://www.whisky.com/whisky-database/details/balvenie-double-wood.html,Balvenie,Scotland,Speyside,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/balvenie-double-wood.html,Double Wood,3.9,959.0,464,12,40.0,0,0,0,0,1,0,1,0,1,4,8,1,0,1,1,0,1,1,0,2,1,0,0,3,5,0,1,1,1,1,2,10,1,1,1,1,1,1,6,1,1,5,0,0,1,0,0,1,0,0,1,2,0,4,0,1,0,0,0,1,1,0,0,1,0,1,1,3,5,0,1,1,1,1,1,1,1
https://www.whisky.com/whisky-database/details/laphroaig-1.html,Laphroaig,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/laphroaig-1.html,,3.9,913.0,519,10,40.0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,2,0,1,1,2,0,1,4,1,2,1,10,1,1,0,1,5,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,5,0,1,0,0,1,3,0,6,1,2,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1
https://www.whisky.com/whisky-database/details/laphroaig-1.html,Laphroaig,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/laphroaig-1.html,,4.6,113.0,33,10,40.0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,2,0,1,1,2,0,1,4,1,2,1,10,1,1,0,1,5,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,5,0,1,0,0,1,3,0,6,1,2,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1
https://www.whisky.com/whisky-database/details/ardbeg-uigeadail.html,Ardbeg,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/ardbeg-uigeadail.html,Uigeadail,4.6,900.0,473,NAS,54.2,0,0,0,0,1,0,0,1,1,1,5,1,1,0,1,1,1,1,1,2,1,1,1,1,3,1,10,1,1,1,1,6,1,1,1,1,1,1,3,1,0,2,1,0,0,0,0,0,1,0,3,1,0,2,1,0,2,1,2,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
https://www.whisky.com/whisky-database/details/glendronach.html,Glendronach,Scotland,Highlands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/glendronach.html,,4.1,760.0,551,12,43.0,0,0,0,0,1,0,0,1,1,1,10,1,1,1,1,0,1,1,0,1,1,1,1,1,4,1,1,1,1,1,1,8,1,1,1,1,1,2,4,1,0,6,1,0,0,1,0,1,1,0,2,1,0,3,1,1,1,1,0,1,1,0,0,1,1,0,1,1,3,0,1,1,1,1,1,1,1
https://www.whisky.com/whisky-database/details/bowmore-new-cardboard-box.html,Bowmore,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/bowmore-new-cardboard-box.html,(new cardboard box),3.7,719.0,418,12,40.0,0,0,0,0,1,1,1,1,2,3,4,1,0,0,1,1,1,1,0,1,1,0,1,2,2,0,10,1,1,1,1,6,2,1,1,1,0,1,3,1,0,3,0,1,0,0,0,1,1,0,2,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
https://www.whisky.com/whisky-database/details/glenmorangie-giraffe.html,Glenmorangie,Scotland,Highlands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/glenmorangie-giraffe.html,Giraffe,3.4,716.0,319,10,40.0,0,0,0,0,1,1,1,1,1,4,1,1,1,1,1,0,1,0,0,4,0,1,1,2,4,0,1,1,1,0,2,10,1,1,0,0,1,0,4,1,1,9,0,0,1,1,0,1,0,0,1,0,0,6,0,1,1,0,0,2,1,0,0,1,1,1,1,2,3,1,1,1,2,0,0,0,1
https://www.whisky.com/whisky-database/details/dalwhinnie.html,Dalwhinnie,Scotland,Highlands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/dalwhinnie.html,,3.6,707.0,360,15,43.0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4,1,1,0,5,4,0,3,1,1,0,1,10,1,1,0,1,1,1,5,1,0,6,0,0,0,1,0,1,0,0,1,1,0,3,1,1,1,1,1,5,1,1,0,1,1,1,1,1,2,1,1,1,1,0,0,1,1
https://www.whisky.com/whisky-database/details/dalwhinnie.html,Dalwhinnie,Scotland,Highlands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/dalwhinnie.html,,3.6,39.0,10,15,43.0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4,1,1,0,5,4,0,3,1,1,0,1,10,1,1,0,1,1,1,5,1,0,6,0,0,0,1,0,1,0,0,1,1,0,3,1,1,1,1,1,5,1,1,0,1,1,1,1,1,2,1,1,1,1,0,0,1,1
